itemLink,productImageLink,name,brand,flavor,vgpg,nic,size
https://vapegateae.com/collections/all-e-liquids/products/copy-of-juice-head-freeze-strawberry-kiwi-100ml,//vapegateae.com/cdn/shop/products/JHstrawkiwi__73715.1569345690_600x_a520c5a7-8a1a-4778-97b0-c4f26b39d1d7_300x300.jpg?v=1623511140,JUICE HEAD FREEZE - STRAWBERRY KIWI 100ML,Juice Head,"strawberry, kiwi, menthol",['70/30'],[3],[100]
https://vapegateae.com/collections/all-e-liquids/products/royalty-ii-vapetasia,//vapegateae.com/cdn/shop/products/large-Vapetasia-royaltytwo-andy_300x300.jpg?v=1611040063,Royalty II - Vapetasia,Vapetasia,"tobacco, hazelnut and vanilla custard",['70/30'],"[0, 3, 6, 12]","[60, 100]"
https://vapegateae.com/collections/all-e-liquids/products/blue-osiris-classic-series-medusa-juice-co-60ml,//vapegateae.com/cdn/shop/products/Medusa-Juice-Co-freebase_03_1_300x300.png?v=1681273919,Blue Osiris Classic Series - Medusa Juice Co. 60ml,Medusa Juice Co.,mango and blackcurrant,['60/40'],[3],[60]
https://vapegateae.com/collections/all-e-liquids/products/m-terk-pumpkin-af-e-liquid,//vapegateae.com/cdn/shop/products/PumpkinAFSquare-3_1080x_651006e3-1981-467e-aa6a-3b6ac2dbd8bd_300x300.jpg?v=1687933672,M.terk - Pumpkin AF E Liquid,M. Terk,pumpkin,['70/30'],"[3, 12, 18]","[60, 120]"
https://vapegateae.com/collections/all-e-liquids/products/killer-kustard-blueberry-vapetasia,//vapegateae.com/cdn/shop/products/15_35_700x700_9c097862-7331-4157-b394-6d89e6870172_300x300.png?v=1617006141,Killer Kustard Blueberry - Vapetasia,Vapetasia,blueberry and custard,['70/30'],"[0, 3, 6]","[60, 100]"
https://vapegateae.com/collections/all-e-liquids/products/graham-slam-e-juice-100-ml-by-the-mamasan,//vapegateae.com/cdn/shop/products/2GrahamSlamEjuice_300x300.png?v=1629699134,Graham Slam E juice 100 ml - by The Mamasan,The Mamasan,"graham cracker, milk",['70/30'],"[3, 6]","[60, 100]"
https://vapegateae.com/collections/all-e-liquids/products/strawberry-johnny-creampuff-100ml-eliquid,//vapegateae.com/cdn/shop/products/Strawberry_by_Johnny_creampuff_300x300.png?v=1623848147,STRAWBERRY - JOHNNY CREAMPUFF 100ML ELIQUID,Johnny Creampuff,"strawberry, cream",['70/30'],[3],[100]
https://vapegateae.com/collections/all-e-liquids/products/iced-trapple-vapetasia,//vapegateae.com/cdn/shop/files/vapetasiaicedtrapple_300x300.jpg?v=1703052297,Iced Trapple - Vapetasia,Vapetasia,"apple, ice",['70/30'],[3],"[60, 100]"
https://vapegateae.com/collections/all-e-liquids/products/m-terk-terkish-harvest-e-liquid,//vapegateae.com/cdn/shop/products/m-terk-harvest_60_large_7731b700-de89-4987-8f07-766fb1a9f648_300x300.jpg?v=1687933233,M.terk - Terkish Harvest E Liquid,M. Terk,butterscotch and apple,['70/30'],"[3, 12, 18]","[60, 120]"
https://vapegateae.com/collections/all-e-liquids/products/iced-milk-of-the-poppy-e-liquid-by-vapetasia,//vapegateae.com/cdn/shop/products/3-Juices---Vapetasia_01_300x300.png?v=1617601265,Iced Milk of the Poppy E liquid by Vapetasia,Vapetasia,"strawberry, dragon fruit, cream & ice",['70/30'],[3],"[60, 100]"
https://vapegateae.com/collections/all-e-liquids/products/iced-blackberry-lemonade-60ml-by-vapetasia,//vapegateae.com/cdn/shop/files/Iced_Blackberry_Lemonade_100ml_3mg_300x300.jpg?v=1703051966,Iced Blackberry Lemonade 60ml by Vapetasia,Vapetasia,"blackberries and lemons, ice",['70/30'],[3],"[60, 100]"
https://vapegateae.com/collections/all-e-liquids/products/yogi-e-liquid-blueberry-granola-bar,//vapegateae.com/cdn/shop/products/yogi-E-liquied_03_300x300.png?v=1648010548,Yogi E Liquid Blueberry Ice,Yogi,"blueberry, ice",['70/30'],[3],"[10, 60, 100]"
https://vapegateae.com/collections/all-e-liquids/products/m-terk-terkish-blend-e-liquid,//vapegateae.com/cdn/shop/products/m-terk-terkish-blend-239128_580x_9f948c68-9c38-49ac-b9bd-5172560dec06_300x300.jpg?v=1687933524,M.terk - Terkish Blend E Liquid,M. Terk,"butterscotch, custard and vanilla",['70/30'],"[3, 6, 12, 18]","[60, 120]"
https://vapegateae.com/collections/all-e-liquids/products/killer-kustard-vapetasia,//vapegateae.com/cdn/shop/products/165_300x300.png?v=1623772629,Killer Kustard - Vapetasia,Vapetasia,"dessert, vanilla and custard",['70/30'],"[3, 6, 12]","[60, 100]"
https://vapegateae.com/collections/all-e-liquids/products/yogi-e-liquid-apple-ice,//vapegateae.com/cdn/shop/products/yogi-delight-ice-apple-3mg-100ml_300x300.jpg?v=1669381745,Yogi E Liquid Apple Ice,Yogi,"apple, ice",['70/30'],[3],"[10, 60, 100]"
https://vapegateae.com/collections/all-e-liquids/products/yogi-e-liquid-pink-guava-ice,//vapegateae.com/cdn/shop/files/Yogi-E-Liquid-Pink-Guava-Ice_02_300x300.png?v=1700123460,Yogi E Liquid Pink Guava Ice,Yogi,"guava, ice",['70/30'],[3],"[10, 60, 100]"
https://vapegateae.com/collections/all-e-liquids/products/white-note-coffee-caramel-tobacco-60ml,//vapegateae.com/cdn/shop/files/black-note-_orange-tobacco-_--Menthol-Blend-_Coffee-_-Caramel_01_300x300.png?v=1698642949,WHITE NOTE - Coffee & Caramel Tobacco 60ML,Black Note,"tobacco, coffee, caramel",['50/50'],"[0, 3, 6, 12]",[60]
